MODALITA' RELEASE
Dimensione, BubbleSort, InsertionSort, SelectionSort, MergeSort, QuickSort, StdSort
2,2.083e-08,1.418e-08,1.585e-08,1.381e-07,1.727e-08,2.31e-08
4,8.753e-08,5.874e-08,7.542e-08,2.4746e-07,6.741e-08,6.622e-08
8,3.6726e-07,1.7798e-07,2.9248e-07,6.5293e-07,2.7654e-07,1.7875e-07
16,1.81484e-06,4.6548e-07,1.00929e-06,2.09782e-06,7.7522e-07,4.5851e-07
32,6.69779e-06,1.0668e-06,2.9879e-06,4.21254e-06,1.82292e-06,1.92856e-06
64,2.28104e-05,3.27031e-06,8.89051e-06,8.72163e-06,4.28867e-06,3.53117e-06
128,0.000107269,7.22804e-06,2.50521e-05,1.76759e-05,7.82282e-06,6.996e-06
256,0.000257047,1.25604e-05,4.12949e-05,2.23899e-05,1.103e-05,1.08232e-05
512,0.000636093,3.65429e-05,0.00012304,4.79055e-05,2.42774e-05,2.27447e-05
1024,0.00252069,0.000152507,0.000498442,0.000113147,5.33147e-05,6.63982e-05
2048,0.0118525,0.000489408,0.00141282,0.000243947,0.000130576,0.00012185
4096,0.0436114,0.00192579,0.00507594,0.000681095,0.000365529,0.000398665
8192,0.199285,0.00954771,0.0229519,0.00132759,0.000728615,0.000689086

MODALITA' DEBUG
Dimensione, BubbleSort, InsertionSort, SelectionSort, MergeSort, QuickSort, StdSort
2,4.171e-08,3.754e-08,5.108e-08,3.1025e-07,6.441e-08,1.6469e-07
4,1.7664e-07,1.1904e-07,1.8147e-07,8.6704e-07,1.9144e-07,3.3318e-07
8,8.2942e-07,3.7171e-07,6.2789e-07,2.14972e-06,5.9244e-07,6.8089e-07
16,3.31171e-06,9.3957e-07,2.09565e-06,5.64303e-06,1.46545e-06,1.58228e-06
32,1.03458e-05,2.97049e-06,6.80942e-06,1.15863e-05,3.40922e-06,4.46032e-06
64,4.01667e-05,7.78015e-06,1.58888e-05,1.62466e-05,4.8833e-06,5.38075e-06
128,7.23926e-05,1.51945e-05,3.19127e-05,2.53981e-05,9.19227e-06,1.11569e-05
256,0.000244695,5.48306e-05,0.000111836,5.3878e-05,2.05624e-05,2.67485e-05
512,0.000873876,0.000214648,0.00041654,0.000111913,4.89065e-05,5.52894e-05
1024,0.00348943,0.000901983,0.001783,0.000263537,0.000115647,0.000134678
2048,0.0145024,0.00342881,0.00694433,0.000442749,0.000189683,0.000237583
4096,0.047974,0.0139118,0.0259361,0.001091,0.0005101,0.000601953
8192,0.360734,0.0745289,0.135022,0.00245604,0.0012323,0.00140342
